ID,DESC_CLASIFICACION,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,ESTADO,COORD_GIS_X,COORD_GIS_Y,SISTEMA_COORD,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,DIRECCION_AUX,NDP,FECHA_INSTALACION,CODIGO_INTERNO,CONTRATO_COD,TOTAL_ELEM,TIPO
3568711,CIRCUITO DEPORTIVO ELEMENTAL,85,LA PAZ,8,FUENCARRAL - EL PARDO,OPERATIVO,440597.41,4481480.16,ETRS89,40.48188796,-3.70085781,CALLE,PEDRO RICO,1,28029,PARQUE NORTE 3 (ANTONIO LOPEZ AGUADO),20103366,3568711-FECHA_INSTALACION-ausente,D0852,AE21,5,DEPORTIVAS
3569210,CIRCUITO DEPORTIVO ELEMENTAL,87,MIRASIERRA,8,FUENCARRAL - EL PARDO,OPERATIVO,438497.36,4482668.09,ETRS89,40.49243631,-3.72574853,CALLE,MARIA DE MAEZTU,108,28049,"CALLE MARIA DE MAEZTU, 108 C/V SENDA DEL INFANTE",31052003,2017-10-09T00:00:00,D0854,AE21,9,DEPORTIVAS
3573005,CIRCUITO DEPORTIVO ELEMENTAL,192,VALDEBERNARDO,19,VICALVARO,OPERATIVO,446968.13,4472539.44,ETRS89,40.40177615,-3.62495141,CALLE,LADERA DE LOS ALMENDROS,14E,28032,"LADERA DE LOS ALMENDROS, 000014  E",20151600,2013-10-20T00:00:00,D1950,AE21,12,DEPORTIVAS
3573016,CIRCUITO DEPORTIVO ELEMENTAL,192,VALDEBERNARDO,19,VICALVARO,OPERATIVO,447538.38,4471701.76,ETRS89,40.3942659,-3.61816268,AVENIDA,DEMOCRACIA,50,28031,"AVDA DEMOCRACIA, 000050",20165254,3573016-FECHA_INSTALACION-ausente,D1953,AE21,11,DEPORTIVAS
3573208,CIRCUITO DEPORTIVO ELEMENTAL,183,ENSANCHE DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,449416.79,4468380.84,ETRS89,40.36446486,-3.59576667,CALLE,MARIA TERESA LEON,1G,28051,"MARIA TERESA LEON, 000001  G",31026567,3573208-FECHA_INSTALACION-ausente,D1854,AE21,3,DEPORTIVAS
3573331,CIRCUITO DEPORTIVO ELEMENTAL,182,SANTA EUGENIA,18,VILLA DE VALLECAS,OPERATIVO,448854.01,4469974.4,ETRS89,40.37878646,-3.60252257,CALLE,POZA DE LA SAL,3,28031,"POZA DE LA SAL, 000003",11131688,2013-10-23T00:00:00,D1851,AE21,5,DEPORTIVAS
3573333,CIRCUITO DEPORTIVO ELEMENTAL,181,CASCO HISTORICO DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,446970.232,4469259.493,ETRS89,40.37222835,-3.62465361,CALLE,BABILAFUENTE,2,28031,"BABILAFUENTE, 000002",20170570,2013-10-20T00:00:00,D1853,AE21,4,DEPORTIVAS
3573466,CIRCUITO DEPORTIVO ELEMENTAL,181,CASCO HISTORICO DE VALLECAS,18,VILLA DE VALLECAS,OPERATIVO,446183.7,4469509.08,ETRS89,40.37442638,-3.63393894,CARRETERA,VILLAVERDE A VALLECAS,289,28031,"CTRA VILLAVERDE A VALLECAS, 000289",20180908,2013-10-20T00:00:00,D1856,AE21,9,DEPORTIVAS
4792795,CIRCUITO DEPORTIVO ELEMENTAL,192,VALDEBERNARDO,19,VICALVARO,OPERATIVO,446881.88,4472327.78,ETRS89,40.39986388,-3.6259501,AUTOVIA,M-40,1500EX,28032,"AUTOV M-40, 001500 EX",31031401,2017-12-20T00:00:00,D1954,AE21,8,DEPORTIVAS
4792812,CIRCUITO DEPORTIVO ELEMENTAL,191,CASCO HISTORICO DE VICALVARO,19,VICALVARO,OPERATIVO,449811.48,4473216.06,ETRS89,40.40804785,-3.5914992,CALLE,ABAD JUAN CATALAN,70,28032,"ABAD JUAN CATALAN, 000070",31037333,2017-12-18T00:00:00,D1957,AE21,8,DEPORTIVAS
4795141,CIRCUITO DEPORTIVO ELEMENTAL,134,PALOMERAS SURESTE,13,PUENTE DE VALLECAS,OPERATIVO,446093.72,4470974.62,ETRS89,40.38762311,-3.63512279,AVENIDA,MIGUEL HERNANDEZ,48,28038,"AVDA MIGUEL HERNANDEZ, 000048",20035278,2017-06-08T00:00:00,D1355,AE21,6,DEPORTIVAS
4986445,CIRCUITO DEPORTIVO ELEMENTAL,172,SAN CRISTOBAL,17,VILLAVERDE,OPERATIVO,441299.28,4466363.19,ETRS89,40.34575667,-3.69118256,CALLE,BENIFERRI,2,28021,"BENIFERRI, 000002",11126150,2018-11-30T00:00:00,D1756,AE21,11,DEPORTIVAS
4988362,CIRCUITO DEPORTIVO ELEMENTAL,52,PROSPERIDAD,5,CHAMARTIN,OPERATIVO,443204.75,4476943.93,ETRS89,40.44120593,-3.66969137,CALLE,CORAZON DE MARIA,18,28002,PARQUE PUERTA DE AMERICA,20120209,2018-12-20T00:00:00,D0502,AE21,4,DEPORTIVAS
3568708,CIRCUITO DEPORTIVO ELEMENTAL,97,ARAVACA,9,MONCLOA - ARAVACA,OPERATIVO,433267.98,4478349.75,ETRS89,40.45313183,-3.78699707,CALLE,ESCULTOR PERESEJO,60,28023,"ESCULTOR PERESEJO, 60-6 (PARQUE ARROYO POZUELO)",20063772,2006-01-25T00:00:00,D0950,AE21,11,DEPORTIVAS
