ID,PUNTUACION_ACCESIBILIDAD,PUNTUACION_CALIDAD,COMENTARIOS,AREA_RECREATIVA_ID,FECHA
1,2,1,REGULAR,18510,2021-03-27T00:00:00
2,5,5,EXCELENTE,52143,2023-03-25T00:00:00
3,1,1,DEFICIENTE,6907760,2022-03-19T00:00:00
4,2,1,REGULAR,9187084,2021-06-25T00:00:00
5,3,2,ACEPTABLE,17256,2023-12-28T00:00:00
6,5,5,EXCELENTE,18570,2021-12-09T00:00:00
7,1,1,DEFICIENTE,17647,2021-02-22T00:00:00
8,1,2,REGULAR,52103,2022-12-15T00:00:00
9,1,1,DEFICIENTE,52195,2021-10-07T00:00:00
10,2,2,ACEPTABLE,52223,2023-05-24T00:00:00
11,1,1,DEFICIENTE,18345,2021-05-30T00:00:00
12,2,2,ACEPTABLE,18371,2023-08-13T00:00:00
13,5,5,EXCELENTE,16716,2023-09-15T00:00:00
14,4,4,EXCELENTE,4749900,2021-03-02T00:00:00
15,5,4,EXCELENTE,18055,2022-05-19T00:00:00
16,2,2,ACEPTABLE,18099,2021-04-13T00:00:00
17,5,4,EXCELENTE,17373,2021-01-19T00:00:00
18,1,1,DEFICIENTE,18330,2022-04-12T00:00:00
19,5,5,EXCELENTE,17407,2022-06-29T00:00:00
20,5,5,EXCELENTE,16677,2022-07-22T00:00:00
21,5,5,EXCELENTE,18435,2022-08-11T00:00:00
22,5,4,EXCELENTE,17300,2023-05-04T00:00:00
23,5,4,EXCELENTE,18378,2021-07-17T00:00:00
24,1,1,DEFICIENTE,18278,2023-07-31T00:00:00
25,4,4,EXCELENTE,17409,2021-12-15T00:00:00
26,2,1,REGULAR,17977,2023-01-03T00:00:00
27,2,2,ACEPTABLE,17685,2023-11-04T00:00:00
28,1,1,DEFICIENTE,52158,2022-09-26T00:00:00
29,4,3,MUY BUENO,17555,2021-09-08T00:00:00
30,5,5,EXCELENTE,17760,2021-04-27T00:00:00
31,2,2,ACEPTABLE,3991087,2022-11-04T00:00:00
32,4,3,MUY BUENO,18620,2021-03-26T00:00:00
33,3,4,MUY BUENO,17008,2023-01-04T00:00:00
34,2,1,REGULAR,18083,2023-10-08T00:00:00
35,3,3,MUY BUENO,18630,2021-06-10T00:00:00
36,1,2,REGULAR,17045,2022-08-17T00:00:00
37,2,2,ACEPTABLE,17419,2022-11-13T00:00:00
38,1,1,DEFICIENTE,3558513,2023-01-31T00:00:00
39,2,1,REGULAR,18351,2023-09-17T00:00:00
40,4,4,EXCELENTE,17092,2023-02-23T00:00:00
41,4,4,EXCELENTE,17783,2022-11-30T00:00:00
42,4,3,MUY BUENO,18528,2021-01-23T00:00:00
43,2,2,ACEPTABLE,5195695,2022-02-13T00:00:00
