ID,FECHA_REPORTE,TIPO_INCIDENTE,GRAVEDAD,AREA_RECREATIVA_ID
1,2024-06-13T00:00:00,ROBO,ALTA,17538
2,2024-07-16T00:00:00,CAIDA,BAJA,16724
3,2021-03-09T00:00:00,CAIDA,CRITICA,18191
4,2023-10-15T00:00:00,ACCIDENTE,MEDIA,52162
5,2022-06-25T00:00:00,ACCIDENTE,ALTA,17397
6,2020-06-08T00:00:00,ROBO,BAJA,17260
7,2023-08-23T00:00:00,VANDALISMO,CRITICA,7928031
8,2022-01-15T00:00:00,ACCIDENTE,CRITICA,17278
9,2024-08-27T00:00:00,VANDALISMO,MEDIA,16729
10,2020-11-04T00:00:00,ACCIDENTE,CRITICA,17203
11,2023-11-11T00:00:00,ACCIDENTE,MEDIA,18354
12,2020-12-25T00:00:00,DANO ESTRUCTURAL,MEDIA,17446
13,2020-10-18T00:00:00,CAIDA,MEDIA,18411
14,2024-09-25T00:00:00,CAIDA,MEDIA,18294
15,2019-12-11T00:00:00,DANO ESTRUCTURAL,MEDIA,52102
16,2024-07-10T00:00:00,CAIDA,MEDIA,18321
17,2020-12-07T00:00:00,VANDALISMO,BAJA,18203
18,2020-01-30T00:00:00,DANO ESTRUCTURAL,MEDIA,17181
19,2020-07-21T00:00:00,VANDALISMO,ALTA,17701
20,2021-08-14T00:00:00,DANO ESTRUCTURAL,BAJA,52114
21,2020-10-09T00:00:00,DANO ESTRUCTURAL,BAJA,17907
22,2019-11-18T00:00:00,VANDALISMO,MEDIA,52105
23,2022-04-08T00:00:00,CAIDA,MEDIA,7889423
24,2024-06-03T00:00:00,CAIDA,MEDIA,18118
25,2021-06-03T00:00:00,ROBO,BAJA,52060
26,2020-11-16T00:00:00,VANDALISMO,ALTA,6880820
27,2019-11-27T00:00:00,ACCIDENTE,MEDIA,17849
28,2023-09-18T00:00:00,DANO ESTRUCTURAL,CRITICA,17769
29,2023-10-22T00:00:00,ACCIDENTE,BAJA,17091
30,2020-08-23T00:00:00,DANO ESTRUCTURAL,ALTA,5219934
31,2021-06-15T00:00:00,VANDALISMO,ALTA,17629
32,2024-04-13T00:00:00,CAIDA,CRITICA,18355
33,2020-06-01T00:00:00,CAIDA,BAJA,17149
34,2024-07-16T00:00:00,ACCIDENTE,ALTA,17768
35,2024-01-12T00:00:00,VANDALISMO,BAJA,16763
36,2024-07-28T00:00:00,CAIDA,MEDIA,3568959
37,2023-09-13T00:00:00,ACCIDENTE,CRITICA,16928
38,2024-07-26T00:00:00,ACCIDENTE,ALTA,17026
39,2024-03-24T00:00:00,DANO ESTRUCTURAL,CRITICA,4985928
40,2022-03-08T00:00:00,CAIDA,ALTA,3573055
41,2023-09-27T00:00:00,DANO ESTRUCTURAL,CRITICA,18010
42,2023-04-14T00:00:00,ACCIDENTE,MEDIA,17765
43,2021-01-12T00:00:00,DANO ESTRUCTURAL,ALTA,7356671
44,2021-04-16T00:00:00,DANO ESTRUCTURAL,BAJA,17256
45,2024-02-10T00:00:00,ACCIDENTE,MEDIA,16731
46,2022-05-17T00:00:00,CAIDA,CRITICA,18492
47,2021-04-11T00:00:00,ROBO,MEDIA,17123
48,2021-10-08T00:00:00,CAIDA,ALTA,8799950
49,2023-11-13T00:00:00,DANO ESTRUCTURAL,MEDIA,17311
50,2020-07-26T00:00:00,DANO ESTRUCTURAL,MEDIA,18430
51,2021-10-03T00:00:00,CAIDA,BAJA,18519
