CODIGO,DIRECCION,CODIGO_POSTAL
28079004,PLAZA DE ESPANA,"28008, 28013"
28079008,ENTRE C/ ALCALA Y C/ O DONELL,28009
28079016,C/ ARTURO SORIA  ESQ. C/  VIZCONDE DE LOS ASILOS,28043
28079018,CALLE FAROLILLO - C/ERVIGIO,28047
28079024,CASA DE CAMPO  (TERMINAL DEL TELEFERICO),28011
28079035,PLAZA DEL CARMEN ESQ. TRES CRUCES.,28013
28079036,AVD. MORATALAZ  ESQ. CAMINO DE LOS VINATEROS,28030
28079038,AVD. PABLO IGLESIAS ESQ. C/ MARQUES DE LEMA,28039
28079039,AVD. BETANZOS ESQ. C/  MONFORTE DE LEMOS,28034
28079054,AVDA LA GAVIA / AVDA. LAS SUERTES,28051
28079056,PZA. ELIPTICA - AVDA. OPORTO,28025
28079058,AVDA. LA GUARDIA,28044
28079059,PARQUE JUAN CARLOS I (FRENTE OFICINAS MANTENIMIENTO),28042
28079102,"C/ FUENTE CARANTONA, 8",28025
28079103,"C/ ARROYO BUENO, 53",28026
28079104,EMBAJADORES,28012
28079106,AUTOVIA M-30 KM. 21.700,28026
28079107,"CTRA. DE CANILLAS, 2",28043
28079108,C.D.M. PENAGRANDE,28035
28079109,"PLAZA DE CHAMBERI, 4",28010
28079110,"C/ MAYOR, 72",28013
28079111,"C/ PRINCIPE DE VERGARA, 142",28002
28079112,"AVDA. ALBUFERA, 42",28018
28079113,"AVDA. ALBUFERA, 42",28018
28079114,"PASEO DE LA CHOPERA, 10",28045
28079115,"PASEO DE LA CHOPERA, 10",28045
